GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
is23am10,it.polimi.is23am10.server.model.pattern,SharedPattern,2,22,1,3,1,5,1,4,0,3
is23am10,it.polimi.is23am10.server.model.pattern,PrivatePattern,2,22,1,3,1,5,1,4,0,3
is23am10,it.polimi.is23am10.server.model.pattern,AbstractPattern,0,15,0,0,0,6,0,3,0,3
is23am10,it.polimi.is23am10.server.network.virtualview,VirtualView,6,143,3,7,1,34,3,18,0,16
is23am10,it.polimi.is23am10.server.network.virtualview,VirtualPlayer,10,86,3,5,2,22,4,10,1,9
is23am10,it.polimi.is23am10.server.model.game,Game.GameStatus,0,27,0,0,0,5,0,1,0,1
is23am10,it.polimi.is23am10.server.model.game,Game,51,640,12,54,11,141,11,67,0,45
is23am10,it.polimi.is23am10.server.network.gamehandler,GameHandler,24,241,10,16,9,63,10,19,0,16
is23am10,it.polimi.is23am10.server.network.gamehandler,CurrentPlayerHandler,0,24,0,0,0,10,0,7,0,7
is23am10,it.polimi.is23am10.server,Server,8,113,4,8,2,31,4,9,0,7
is23am10,it.polimi.is23am10.server,Server.ServerStatus,0,15,0,0,0,3,0,1,0,1
is23am10,it.polimi.is23am10.server.model.items.tile,Tile,7,54,1,9,2,15,2,10,1,6
is23am10,it.polimi.is23am10.server.model.items.tile,Tile.TileType,0,45,0,0,0,8,0,1,0,1
is23am10,it.polimi.is23am10.server.model.factory,SharedPatternFactory,12,1760,28,256,6,244,28,137,0,23
is23am10,it.polimi.is23am10.server.model.factory,GameFactory,0,62,0,0,0,12,0,1,0,1
is23am10,it.polimi.is23am10.server.model.factory,PlayerFactory,0,83,0,8,0,20,0,6,0,2
is23am10,it.polimi.is23am10.server.model.factory,PrivatePatternFactory,48,957,0,148,24,200,0,89,0,15
is23am10,it.polimi.is23am10.server.controller,ServerControllerAction,12,40,3,3,3,7,3,3,1,2
is23am10,it.polimi.is23am10.server.controller,ClientConnectionChecker,68,192,7,17,20,49,8,10,1,5
is23am10,it.polimi.is23am10.server.controller,ServerControllerSocket.CommandDeserializer,12,61,2,5,2,13,2,6,0,2
is23am10,it.polimi.is23am10.server.controller,ServerControllerSocket,10,222,5,9,2,55,5,8,0,6
is23am10,it.polimi.is23am10.server.controller,ServerControllerSocket.CoordinatesDeserializer,21,6,0,0,4,1,1,1,1,1
is23am10,it.polimi.is23am10.server.controller,ServerControllerRmiBindings,8,30,2,2,2,16,2,6,0,6
is23am10,it.polimi.is23am10.server.controller,ServerControllerState,16,243,3,21,5,71,5,22,2,13
is23am10,it.polimi.is23am10.server.network.messages,ChatMessage,0,103,0,2,0,26,0,8,0,7
is23am10,it.polimi.is23am10.server.network.messages,AvailableGamesMessage,5,37,1,3,2,11,3,2,2,1
is23am10,it.polimi.is23am10.server.network.messages,AbstractMessage,0,9,0,0,0,3,0,3,0,3
is23am10,it.polimi.is23am10.server.network.messages,GameMessage,0,35,0,0,0,10,0,2,0,2
is23am10,it.polimi.is23am10.server.network.messages,SnoozeACKMessage,0,11,0,0,0,5,0,1,0,1
is23am10,it.polimi.is23am10.server.network.messages,AbstractMessage.MessageType,0,33,0,0,0,6,0,1,0,1
is23am10,it.polimi.is23am10.server.network.messages,ErrorMessage.ErrorSeverity,0,27,0,0,0,5,0,1,0,1
is23am10,it.polimi.is23am10.server.network.messages,ErrorMessage,13,37,2,0,3,13,4,2,3,2
is23am10,it.polimi.is23am10.server.model.items.card,AbstractCard,0,20,0,2,0,7,0,4,0,3
is23am10,it.polimi.is23am10.server.model.items.card,PrivateCard,3,37,0,4,2,13,1,5,1,3
is23am10,it.polimi.is23am10.server.model.items.card,SharedCard,9,86,0,4,3,18,2,5,2,3
is23am10,it.polimi.is23am10.server.model.items.bookshelf,Bookshelf,66,312,7,35,9,51,7,28,3,11
is23am10,it.polimi.is23am10.utils.config,AppConfig,7,121,2,10,3,47,3,24,1,20
is23am10,it.polimi.is23am10.utils.config,AppConfigContext,36,60,0,0,13,21,2,10,2,10
is23am10,it.polimi.is23am10.server.model.items.scoreblock,ScoreBlock,7,59,2,4,2,11,3,5,1,4
is23am10,it.polimi.is23am10.client,Client.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
is23am10,it.polimi.is23am10.client,Client.MessageDeserializer,61,6,6,0,13,1,6,1,1,1
is23am10,it.polimi.is23am10.client,Client.ClientGameStatus,0,21,0,0,0,4,0,1,0,1
is23am10,it.polimi.is23am10.client,Client.AlarmTask,0,13,0,0,0,5,0,2,0,2
is23am10,it.polimi.is23am10.client,LockObject,0,3,0,0,0,1,0,1,0,1
is23am10,it.polimi.is23am10.server.network.playerconnector,AbstractPlayerConnector,24,59,6,4,5,20,4,12,1,10
is23am10,it.polimi.is23am10.server.network.playerconnector,PlayerConnectorRmi,15,7,2,0,7,3,4,1,3,1
is23am10,it.polimi.is23am10.server.network.playerconnector,PlayerConnectorSocket,11,23,3,3,5,9,3,4,1,3
is23am10,it.polimi.is23am10.client.userinterface,VirtualViewSceneHandler,145,0,12,0,42,0,18,0,12,0
is23am10,it.polimi.is23am10.client.userinterface,VirtualViewPair,12,0,0,0,5,0,1,0,1,0
is23am10,it.polimi.is23am10.server.model.score,Score,44,405,9,39,3,80,10,33,1,18
is23am10,it.polimi.is23am10.client.userinterface.helpers,OutputWrapper,57,949,3,47,15,176,7,35,4,13
is23am10,it.polimi.is23am10.client.userinterface.helpers,CommandsBuilder,47,0,2,0,10,0,6,0,5,0
is23am10,it.polimi.is23am10.client.userinterface.helpers,CLIStrings,3,130,0,0,1,21,1,1,1,1
is23am10,it.polimi.is23am10.client.userinterface.helpers,OutputWrapper.OutputLevel,0,39,0,0,0,7,0,1,0,1
is23am10,it.polimi.is23am10.client.userinterface.helpers,PrivatePatternsHelper,8,97,0,0,3,14,1,2,1,2
is23am10,it.polimi.is23am10.client.userinterface.helpers,ANSICodes,3,0,0,0,1,0,1,0,1,0
is23am10,it.polimi.is23am10.server.model.items.board,Board,27,921,9,55,5,88,10,45,1,22
is23am10,it.polimi.is23am10.server.model.player,Player,25,143,2,16,8,46,5,26,3,19
is23am10,it.polimi.is23am10.server.command,AddPlayerCommand,0,58,2,6,0,15,2,7,0,5
is23am10,it.polimi.is23am10.server.command,AbstractCommand.Opcode,0,45,0,0,0,8,0,1,0,1
is23am10,it.polimi.is23am10.server.command,GetAvailableGamesCommand,0,12,0,0,0,5,0,2,0,2
is23am10,it.polimi.is23am10.server.command,SnoozeGameTimerCommand,0,42,1,5,0,12,1,6,0,4
is23am10,it.polimi.is23am10.server.command,StartGameCommand,0,53,2,6,0,15,2,7,0,5
is23am10,it.polimi.is23am10.server.command,SendChatMessageCommand,18,0,0,0,7,0,3,0,3,0
is23am10,it.polimi.is23am10.server.command,MoveTilesCommand,0,74,3,7,0,18,3,8,0,6
is23am10,it.polimi.is23am10.server.command,AbstractCommand,1,12,1,1,0,4,1,2,0,2
is23am10,it.polimi.is23am10.utils,CustomKeyDeserializer,24,0,0,0,5,0,2,0,2,0
is23am10,it.polimi.is23am10.utils,ThreadLocalTypeAdapterFactory,5,10,1,1,1,3,1,2,0,2
is23am10,it.polimi.is23am10.utils,CustomKeySerializer,19,0,0,0,5,0,2,0,2,0
is23am10,it.polimi.is23am10.utils,CommandSyntaxValidator,79,16,29,3,24,3,19,1,3,1
is23am10,it.polimi.is23am10.utils,MovesValidator,3,366,7,51,1,70,7,36,0,14
is23am10,it.polimi.is23am10.utils,IndexValidator,8,28,4,8,2,4,4,4,0,2
is23am10,it.polimi.is23am10.utils,Coordinates,18,73,3,3,2,19,4,8,1,8
is23am10,it.polimi.is23am10.utils,MoveCommandHelper,70,0,8,0,10,0,5,0,1,0
is23am10,it.polimi.is23am10.utils,ThreadLocalTypeAdapterFactory.new TypeAdapter() {...},26,0,0,0,8,0,3,0,3,0
is23am10,it.polimi.is23am10.utils,MoveTileCommandTypeAdaptor,48,32,2,2,7,8,2,3,0,3
is23am10,it.polimi.is23am10.utils,ArgParser,10,177,3,26,3,36,3,17,0,1
